customer_id,total_orders,total_revenue,avg_order_value,last_order_date
CUST09346,78,2857906.02,36639.82,2025-12-26
CUST07701,78,2847410.27,36505.26,2025-12-21
CUST05352,71,2825658.78,39798.01,2025-12-15
CUST11708,73,2804331.18,38415.5,2025-12-25
CUST13951,89,2771948.77,31145.49,2025-12-30
CUST02244,66,2729036.09,41349.03,2025-12-14
CUST04560,83,2715303.16,32714.5,2025-12-22
CUST11775,46,2692896.82,58541.24,2025-12-21
CUST11804,72,2688686.96,37342.87,2025-12-19
CUST08400,33,2677960.18,81150.31,2025-12-08
CUST14592,71,2675816.57,37687.56,2025-12-27
CUST11793,59,2674878.73,45336.93,2025-12-31
CUST00848,85,2668031.08,31388.6,2025-12-11
CUST13781,60,2601406.52,43356.78,2025-12-31
CUST06519,47,2589346.77,55092.48,2025-12-09
CUST09778,70,2583445.39,36906.36,2025-12-29
CUST03432,47,2580134.03,54896.47,2025-12-30
CUST10075,45,2573289.22,57184.2,2025-12-10
CUST13747,63,2538544.96,40294.36,2025-12-21
CUST01913,63,2524366.31,40069.31,2025-12-25
CUST14367,42,2508048.91,59715.45,2025-12-31
CUST12214,33,2485427.84,75316.0,2025-12-26
CUST14060,36,2474118.04,68725.5,2025-12-29
CUST10805,52,2464204.74,47388.55,2025-12-27
CUST05699,38,2459996.41,64736.75,2025-12-30
CUST04302,18,2457191.03,136510.61,2025-11-06
CUST00476,51,2439214.06,47827.73,2025-12-28
CUST01639,63,2424107.11,38477.89,2025-12-28
CUST08497,61,2385116.71,39100.27,2025-12-24
CUST05562,75,2383354.3,31778.06,2025-12-23
CUST05884,63,2378282.2,37750.51,2025-12-10
CUST14250,62,2369272.88,38214.08,2025-12-24
CUST10450,63,2363639.07,37518.08,2025-12-13
CUST02028,37,2335102.02,63110.87,2025-12-01
CUST11805,55,2321145.08,42202.64,2025-12-14
CUST01716,62,2319095.59,37404.77,2025-12-27
CUST12496,49,2316252.95,47270.47,2025-12-30
CUST13459,46,2316175.83,50351.65,2025-12-21
CUST13358,76,2313421.98,30439.76,2025-12-28
CUST06395,45,2307439.47,51276.43,2025-12-24
CUST07357,49,2291501.4,46765.33,2025-12-26
CUST12213,53,2287290.73,43156.43,2025-12-31
CUST14983,60,2281165.04,38019.42,2025-12-20
CUST08465,80,2278247.23,28478.09,2025-12-16
CUST01278,38,2272014.26,59789.85,2025-12-14
CUST01062,49,2260863.48,46140.07,2025-12-22
CUST04766,67,2246830.24,33534.78,2025-11-23
CUST00706,52,2243085.46,43136.26,2025-12-19
CUST02201,35,2236743.34,63906.95,2025-11-15
CUST02790,65,2232054.05,34339.29,2025-12-17
CUST00811,38,2231714.38,58729.33,2025-12-23
CUST11081,66,2204350.28,33399.25,2025-12-26
CUST07720,42,2202822.09,52448.15,2025-12-15
CUST05423,44,2200477.03,50010.84,2025-11-08
CUST05486,40,2200404.83,55010.12,2025-12-14
CUST09842,49,2197105.0,44838.88,2025-12-20
CUST14600,57,2191076.41,38439.94,2025-12-25
CUST05166,46,2186659.95,47536.09,2025-11-27
CUST10131,62,2184724.56,35237.49,2025-12-04
CUST05808,37,2177416.09,58849.08,2025-12-17
CUST09769,41,2175860.61,53069.77,2025-12-27
CUST14325,40,2166473.86,54161.85,2025-12-23
CUST10273,44,2162978.96,49158.61,2025-11-09
CUST06110,24,2160425.15,90017.71,2025-11-22
CUST02844,23,2154106.35,93656.8,2025-12-09
CUST12332,57,2151988.5,37754.18,2025-12-31
CUST02737,46,2147910.28,46693.7,2025-12-19
CUST12115,65,2146264.21,33019.45,2025-11-17
CUST01890,54,2132086.56,39483.08,2025-12-20
CUST03886,27,2117265.64,78417.25,2025-12-30
CUST05793,32,2115461.74,66108.18,2025-12-01
CUST01334,62,2115091.08,34114.37,2025-12-18
CUST02461,63,2114181.43,33558.44,2025-12-17
CUST05366,52,2101837.69,40419.96,2025-12-18
CUST02907,35,2087979.55,59656.56,2025-11-30
CUST07205,25,2077770.15,83110.81,2025-12-26
CUST14923,23,2075217.0,90226.83,2025-12-23
CUST02433,45,2071886.01,46041.91,2025-12-10
CUST05749,40,2071582.23,51789.56,2025-12-14
CUST06421,40,2071343.48,51783.59,2025-12-24
CUST12894,31,2054064.19,66260.14,2025-11-29
CUST08428,45,2040255.37,45339.01,2025-12-12
CUST11100,43,2034223.95,47307.53,2025-12-27
CUST02964,34,2019214.73,59388.67,2025-12-05
CUST01012,41,2016545.31,49184.03,2025-12-31
CUST07906,53,2005725.74,37843.88,2025-12-28
CUST06749,57,1992314.79,34952.89,2025-12-30
CUST03513,34,1970307.43,57950.22,2025-12-17
CUST08282,36,1969914.54,54719.85,2025-12-20
CUST03498,15,1957124.13,130474.94,2025-12-24
CUST11918,84,1948123.17,23191.94,2025-12-31
CUST05934,43,1947674.79,45294.76,2025-12-03
CUST11845,34,1946175.17,57240.45,2025-12-22
CUST12035,15,1944976.0,129665.07,2025-09-11
CUST00447,44,1940872.29,44110.73,2025-12-19
CUST07316,56,1935589.34,34564.1,2025-12-27
CUST09852,33,1930983.03,58514.64,2025-12-12
CUST02409,46,1930420.71,41965.67,2025-12-25
CUST02637,32,1921532.26,60047.88,2025-12-29
CUST02837,48,1908331.8,39756.91,2025-11-24
CUST08128,26,1905468.39,73287.25,2025-12-22
CUST12293,39,1902407.52,48779.68,2025-12-17
CUST04272,26,1870155.93,71929.07,2025-12-13
CUST07596,41,1865626.15,45503.08,2025-12-26
CUST10211,34,1854013.15,54529.8,2025-12-13
CUST05335,38,1851700.05,48728.95,2025-12-15
CUST06746,66,1849204.45,28018.25,2025-12-29
CUST09477,42,1848138.32,44003.29,2025-12-07
CUST08040,38,1846326.35,48587.54,2025-12-22
CUST04921,34,1841062.06,54148.88,2025-12-19
CUST12421,43,1838951.77,42766.32,2025-11-21
CUST03925,52,1833320.59,35256.17,2025-12-19
CUST01239,34,1831714.78,53873.96,2025-12-15
CUST03097,24,1824615.92,76025.66,2025-11-16
CUST00262,40,1823120.11,45578.0,2025-12-14
CUST11871,43,1822729.41,42389.06,2025-11-12
CUST13001,34,1821895.68,53585.17,2025-12-21
CUST04060,48,1820605.04,37929.27,2025-12-22
CUST07551,18,1814916.47,100828.69,2025-10-06
CUST05314,35,1811426.65,51755.05,2025-12-29
CUST02079,39,1809182.06,46389.28,2025-12-25
CUST11433,34,1808351.77,53186.82,2025-12-12
CUST06779,41,1807055.38,44074.52,2025-10-26
CUST02739,29,1802894.08,62168.76,2025-12-21
CUST11389,42,1794447.51,42724.94,2025-12-04
CUST02315,58,1793130.13,30916.04,2025-11-08
CUST09118,46,1785048.38,38805.4,2025-12-21
CUST14222,46,1779810.49,38691.53,2025-12-26
CUST00826,19,1766618.99,92979.95,2025-11-15
CUST05812,39,1760399.79,45138.46,2025-11-27
CUST08621,72,1752837.41,24344.96,2025-11-08
CUST10103,28,1750946.72,62533.81,2025-12-28
CUST08504,29,1750657.56,60367.5,2025-12-02
CUST14768,31,1747677.58,56376.7,2025-12-16
CUST00489,25,1739732.4,69589.3,2025-10-19
CUST03790,33,1723304.86,52221.36,2025-12-26
CUST10311,33,1709950.97,51816.7,2025-12-18
CUST04172,36,1709094.02,47474.83,2025-11-15
CUST04744,57,1707891.33,29963.01,2025-12-31
CUST08161,22,1702729.01,77396.77,2025-12-15
CUST08822,42,1702616.13,40538.48,2025-12-17
CUST07296,33,1697869.02,51450.58,2025-12-11
CUST03076,16,1695745.22,105984.08,2025-11-29
CUST14062,32,1690606.94,52831.47,2025-12-18
CUST01089,39,1685387.68,43215.07,2025-12-27
CUST05287,36,1683207.58,46755.77,2025-12-27
CUST03914,34,1682875.42,49496.34,2025-12-22
CUST08893,38,1678330.84,44166.6,2025-11-28
CUST06348,40,1669644.22,41741.11,2025-12-26
CUST04472,45,1660389.59,36897.55,2025-12-14
CUST14660,36,1658113.82,46058.72,2025-12-23
CUST05744,50,1657130.87,33142.62,2025-12-10
CUST04354,24,1651932.4,68830.52,2025-12-28
CUST13239,34,1650609.19,48547.33,2025-12-16
CUST04762,51,1649574.36,32344.6,2025-12-18
CUST13486,43,1638089.93,38095.11,2025-12-30
CUST11140,35,1634361.31,46696.04,2025-12-23
CUST08998,38,1632576.43,42962.54,2025-12-27
CUST13049,25,1630699.95,65228.0,2025-12-14
CUST10249,34,1629092.69,47914.49,2025-12-11
CUST01425,36,1624681.57,45130.04,2025-12-31
CUST00442,36,1623912.68,45108.69,2025-12-20
CUST10704,46,1620600.86,35230.45,2025-12-26
CUST00519,34,1618452.46,47601.54,2025-12-24
CUST10050,44,1616672.83,36742.56,2025-12-31
CUST02718,36,1612076.41,44779.9,2025-11-24
CUST05358,35,1611914.74,46054.71,2025-12-21
CUST06767,35,1607547.39,45929.93,2025-10-20
CUST07634,29,1601809.47,55234.81,2025-12-28
CUST14848,50,1599746.56,31994.93,2025-12-27
CUST14465,42,1596692.13,38016.48,2025-12-22
CUST05252,28,1595840.75,56994.31,2025-12-29
CUST07579,18,1590610.1,88367.23,2025-12-27
CUST11924,42,1588948.79,37832.11,2025-12-14
CUST11960,16,1584801.34,99050.08,2025-11-02
CUST08697,23,1582361.21,68798.31,2025-12-31
CUST07512,60,1581393.09,26356.55,2025-12-29
CUST14577,36,1581284.93,43924.58,2025-12-12
CUST14412,12,1575002.89,131250.24,2025-11-04
CUST09726,33,1570422.16,47588.55,2025-12-17
CUST02806,36,1569174.76,43588.19,2025-12-03
CUST09425,40,1566763.46,39169.09,2025-12-05
CUST14472,53,1564956.8,29527.49,2025-12-30
CUST06111,20,1564688.56,78234.43,2025-11-25
CUST14532,41,1562710.68,38114.89,2025-12-20
CUST14012,16,1559815.86,97488.49,2025-10-02
CUST03710,28,1558598.95,55664.25,2025-12-26
CUST08616,30,1558207.49,51940.25,2025-12-23
CUST14598,49,1556368.87,31762.63,2025-12-17
CUST04439,50,1554700.97,31094.02,2025-12-13
CUST07177,49,1552447.4,31682.6,2025-12-24
CUST00306,23,1551983.49,67477.54,2025-12-11
CUST12126,17,1551496.87,91264.52,2025-11-28
CUST13727,41,1550221.94,37810.29,2025-11-27
CUST01172,40,1546344.35,38658.61,2025-11-06
CUST04808,28,1541937.56,55069.2,2025-12-30
CUST06118,60,1541080.77,25684.68,2025-12-17
CUST14357,30,1531383.95,51046.13,2025-12-29
CUST10866,31,1528092.99,49293.32,2025-12-30
CUST10577,32,1526018.14,47688.07,2025-12-18
CUST10032,36,1523859.02,42329.42,2025-12-19
CUST05794,20,1521485.19,76074.26,2025-10-28
CUST12103,47,1521042.52,32362.61,2025-12-17
CUST04223,17,1519353.15,89373.71,2025-11-03
CUST11058,23,1519049.46,66045.63,2025-11-29
CUST04068,35,1517697.15,43362.78,2025-10-14
CUST08910,42,1517392.97,36128.4,2025-12-21
CUST07221,20,1515777.91,75788.9,2025-11-13
CUST05755,20,1514897.32,75744.87,2025-12-04
CUST09088,37,1509301.35,40791.93,2025-12-16
CUST11995,35,1501243.52,42892.67,2025-11-12
CUST04446,23,1500866.12,65255.05,2025-12-13
CUST04036,39,1500396.61,38471.71,2025-12-25
CUST14067,29,1498604.04,51676.0,2025-12-12
CUST14991,25,1496268.98,59850.76,2025-12-17
CUST09143,28,1489749.89,53205.35,2025-12-06
CUST05241,28,1485874.83,53066.96,2025-12-17
CUST10296,33,1484018.42,44970.26,2025-12-10
CUST09861,13,1482147.56,114011.35,2025-11-21
CUST12395,15,1481953.56,98796.9,2025-12-27
CUST02110,35,1471554.22,42044.41,2025-11-06
CUST08393,27,1470646.85,54468.4,2025-11-30
CUST13688,46,1460954.79,31759.89,2025-12-19
CUST07544,38,1460405.19,38431.72,2025-11-29
CUST10582,44,1459105.25,33161.48,2025-12-29
CUST01663,21,1458019.84,69429.52,2025-12-30
CUST07971,37,1455922.56,39349.26,2025-12-25
CUST04967,28,1454520.84,51947.17,2025-12-21
CUST03804,34,1449742.35,42639.48,2025-12-19
CUST01075,45,1449073.32,32201.63,2025-11-23
CUST02792,33,1448460.18,43892.73,2025-12-09
CUST06356,30,1445497.52,48183.25,2025-11-06
CUST14345,42,1443383.06,34366.26,2025-11-07
CUST05741,16,1441277.64,90079.85,2025-12-10
CUST03715,46,1440680.61,31319.14,2025-11-11
CUST00523,38,1440034.64,37895.65,2025-12-11
CUST12512,44,1439188.49,32708.83,2025-12-12
CUST13934,41,1437325.9,35056.73,2025-12-12
CUST08835,19,1436390.79,75599.52,2025-10-19
CUST12518,50,1435463.22,28709.26,2025-12-13
CUST04489,12,1428124.33,119010.36,2025-11-17
CUST14091,18,1427815.31,79323.07,2025-12-26
CUST09529,38,1427053.43,37554.04,2025-11-24
CUST13401,44,1423441.79,32350.95,2025-12-25
CUST11455,36,1422278.43,39507.73,2025-12-31
CUST00582,37,1421807.07,38427.22,2025-12-12
CUST06797,18,1415113.3,78617.41,2025-12-30
CUST09210,7,1412449.53,201778.5,2025-12-07
CUST01371,23,1403942.42,61040.97,2025-11-05
CUST09568,18,1403132.83,77951.82,2025-12-31
CUST01585,38,1402949.82,36919.73,2025-12-29
CUST04586,35,1399940.8,39998.31,2025-12-01
CUST12644,43,1399550.24,32547.68,2025-12-22
CUST11186,36,1389900.5,38608.35,2025-12-21
CUST13064,41,1388504.53,33865.96,2025-12-30
CUST11368,40,1388422.34,34710.56,2025-11-14
CUST04760,42,1383491.72,32940.28,2025-12-03
CUST09374,18,1383411.86,76856.21,2025-12-07
CUST12414,27,1381628.34,51171.42,2025-12-23
CUST01907,21,1379698.38,65699.92,2025-11-15
CUST09130,18,1378170.08,76565.0,2025-12-09
CUST02577,30,1377382.66,45912.76,2025-12-15
CUST00465,28,1373517.64,49054.2,2025-12-08
CUST05459,37,1371137.74,37057.78,2025-11-13
CUST00552,21,1367212.88,65105.38,2025-12-30
CUST05798,34,1365637.01,40165.79,2025-12-25
CUST14098,34,1363379.35,40099.39,2025-12-25
CUST07229,21,1362829.87,64896.66,2025-10-05
CUST14083,33,1359511.14,41197.31,2025-11-20
CUST12048,27,1359127.15,50338.04,2025-12-06
CUST12818,34,1358186.1,39946.65,2025-12-21
CUST00470,26,1356783.79,52183.99,2025-12-21
CUST02955,21,1354911.39,64519.59,2025-12-10
CUST05339,23,1354680.23,58899.14,2025-12-12
CUST05111,24,1354003.6,56416.82,2025-12-24
CUST00797,23,1352878.37,58820.8,2025-12-30
CUST00472,31,1352027.62,43613.79,2025-12-31
CUST13119,30,1351102.39,45036.75,2025-12-15
CUST09332,15,1350515.64,90034.38,2025-11-28
CUST09205,24,1344499.81,56020.83,2025-12-27
CUST13834,63,1342130.61,21303.66,2025-12-15
CUST14889,22,1339327.46,60878.52,2025-12-08
CUST13899,37,1337576.17,36150.71,2025-12-27
CUST07130,20,1336005.44,66800.27,2025-12-27
CUST05460,27,1334607.09,49429.89,2025-12-31
CUST13088,24,1333599.98,55566.67,2025-12-10
CUST02166,34,1333279.24,39214.1,2025-12-10
CUST12508,24,1333223.84,55550.99,2025-12-26
CUST13007,31,1333190.45,43006.14,2025-12-31
CUST00676,42,1331784.21,31709.15,2025-12-29
CUST09758,54,1331609.01,24659.43,2025-12-29
CUST09863,20,1330868.83,66543.44,2025-10-14
CUST03445,32,1328449.93,41514.06,2025-12-11
CUST02871,15,1327366.79,88491.12,2025-10-20
CUST09391,20,1324131.35,66206.57,2025-12-24
CUST10972,27,1324017.57,49037.69,2025-12-26
CUST05211,19,1320563.33,69503.33,2025-12-28
CUST00752,20,1318155.63,65907.78,2025-09-04
CUST02382,12,1317580.09,109798.34,2025-11-21
CUST06960,30,1317548.66,43918.29,2025-12-23
CUST08094,22,1316224.34,59828.38,2025-12-14
CUST12320,26,1315551.24,50598.12,2025-12-12
CUST03726,18,1313607.94,72978.22,2025-10-08
CUST06487,25,1312796.67,52511.87,2025-11-21
CUST11603,26,1312234.52,50470.56,2025-12-28
CUST05189,18,1311624.7,72868.04,2025-10-16
CUST10848,10,1309797.93,130979.79,2025-07-21
CUST00679,35,1308728.75,37392.25,2025-12-25
CUST11531,26,1308081.26,50310.82,2025-12-21
CUST07226,30,1307077.97,43569.27,2025-12-13
CUST01016,26,1306817.25,50262.2,2025-12-27
CUST05513,15,1305511.78,87034.12,2025-11-09
CUST06543,24,1301102.5,54212.6,2025-09-29
CUST04933,19,1299250.16,68381.59,2025-12-15
CUST07949,15,1298129.05,86541.94,2025-12-17
CUST12243,17,1296239.31,76249.37,2025-10-25
CUST02003,14,1294849.2,92489.23,2025-10-17
CUST04395,24,1294693.65,53945.57,2025-12-17
CUST05763,21,1294659.28,61650.44,2025-12-28
CUST09761,13,1293563.93,99504.92,2025-10-30
CUST08102,39,1293378.05,33163.54,2025-11-21
CUST00721,16,1291177.31,80698.58,2025-11-06
CUST10246,27,1290285.95,47788.37,2025-12-30
CUST04816,25,1289658.96,51586.36,2025-12-15
CUST04700,46,1289501.6,28032.64,2025-12-28
CUST05318,25,1287985.44,51519.42,2025-11-26
CUST11175,16,1286653.48,80415.84,2025-12-02
CUST08387,30,1286110.89,42870.36,2025-12-21
CUST03584,13,1285598.48,98892.19,2025-12-12
CUST10802,12,1285592.3,107132.69,2025-12-16
CUST02123,21,1285353.54,61207.31,2025-12-31
CUST12862,24,1282796.87,53449.87,2025-12-22
CUST02836,20,1281067.02,64053.35,2025-12-31
CUST12506,29,1279995.73,44137.78,2025-12-27
CUST05023,24,1279408.81,53308.7,2025-12-27
CUST12431,40,1278596.37,31964.91,2025-12-07
CUST12991,21,1278542.03,60882.95,2025-09-20
CUST14750,50,1277433.35,25548.67,2025-12-30
CUST06052,18,1276535.6,70918.64,2025-07-27
CUST05025,19,1276319.49,67174.71,2025-12-01
CUST03238,16,1275806.74,79737.92,2025-11-22
CUST13147,17,1275578.82,75034.05,2025-11-22
CUST07311,25,1275171.5,51006.86,2025-12-26
CUST12128,36,1273017.01,35361.58,2025-12-20
CUST09809,39,1272938.04,32639.44,2025-11-23
CUST00918,23,1269000.61,55173.94,2025-12-28
CUST01816,31,1268750.97,40927.45,2025-11-28
CUST01520,22,1265425.27,57519.33,2025-12-21
CUST11178,41,1263870.04,30826.1,2025-12-20
CUST12463,41,1263229.72,30810.48,2025-12-21
CUST11744,34,1262323.95,37127.18,2025-12-20
CUST14572,22,1258022.49,57182.84,2025-12-01
CUST14017,24,1257268.89,52386.2,2025-12-21
CUST03574,42,1253302.36,29840.53,2025-12-14
CUST14236,33,1253214.12,37976.19,2025-12-18
CUST07028,40,1253143.77,31328.59,2025-12-14
CUST08671,17,1249457.64,73497.51,2025-12-02
CUST10301,22,1249334.07,56787.91,2025-11-27
CUST00314,27,1247943.92,46220.15,2025-12-31
CUST04847,27,1241282.11,45973.41,2025-10-01
CUST03529,22,1238811.35,56309.61,2025-11-19
CUST09478,14,1235123.71,88223.12,2025-11-15
CUST12010,29,1234480.46,42568.29,2025-12-04
CUST05736,8,1234405.64,154300.71,2025-11-21
CUST14522,19,1233278.08,64909.37,2025-12-14
CUST13222,43,1233104.39,28676.85,2025-12-14
CUST07866,39,1232605.77,31605.28,2025-12-17
CUST05712,34,1229703.62,36167.75,2025-11-29
CUST01665,49,1228049.17,25062.23,2025-12-23
CUST06100,14,1227916.12,87708.29,2025-12-12
CUST14010,29,1222277.64,42147.5,2025-12-20
CUST01865,38,1221833.13,32153.5,2025-12-07
CUST13526,16,1218970.52,76185.66,2025-12-25
CUST13190,27,1218678.12,45136.23,2025-11-13
CUST01682,25,1218482.39,48739.3,2025-10-28
CUST05444,23,1218420.92,52974.82,2025-11-08
CUST12301,28,1218226.75,43508.1,2025-11-15
CUST03117,13,1217021.61,93617.05,2025-12-31
CUST09126,24,1215121.18,50630.05,2025-11-30
CUST07734,13,1215110.1,93470.01,2025-12-22
CUST01198,28,1215053.13,43394.75,2025-11-12
CUST13953,23,1213429.49,52757.8,2025-11-23
CUST05202,30,1211421.74,40380.72,2025-12-24
CUST06469,15,1210287.72,80685.85,2025-07-18
CUST11287,21,1210171.8,57627.23,2025-10-30
CUST08564,14,1209984.82,86427.49,2025-10-28
CUST12975,32,1209001.47,37781.3,2025-11-30
CUST01229,25,1206849.1,48273.96,2025-12-05
CUST01122,25,1205873.86,48234.95,2025-11-29
CUST09972,38,1203982.58,31683.75,2025-10-06
CUST09523,23,1203619.67,52331.29,2025-12-28
CUST05110,32,1202678.48,37583.7,2025-12-14
CUST12410,29,1201045.62,41415.37,2025-11-10
CUST00391,45,1200332.23,26674.05,2025-12-10
CUST14862,14,1200176.49,85726.89,2025-11-26
CUST12261,32,1199019.77,37469.37,2025-12-29
CUST14212,30,1198955.61,39965.19,2025-12-03
CUST01428,29,1198371.24,41323.15,2025-12-14
CUST12174,38,1197986.72,31525.97,2025-12-13
CUST06082,25,1195614.09,47824.56,2025-12-10
CUST06818,21,1193398.17,56828.48,2025-10-30
CUST14175,19,1192535.28,62765.01,2025-11-30
CUST01757,15,1192487.27,79499.15,2025-11-16
CUST12889,28,1191578.25,42556.37,2025-12-03
CUST09734,8,1189212.14,148651.52,2025-12-28
CUST06427,24,1188278.74,49511.61,2025-10-24
CUST13997,20,1188004.01,59400.2,2025-09-12
CUST14381,16,1185137.97,74071.12,2025-12-29
CUST11916,37,1183928.19,31998.06,2025-12-21
CUST12068,26,1183786.8,45530.26,2025-10-15
CUST12124,24,1178166.74,49090.28,2025-12-08
CUST00051,26,1177000.06,45269.23,2025-12-29
CUST12182,19,1176936.9,61944.05,2025-12-21
CUST12232,30,1175156.65,39171.89,2025-10-25
CUST01081,12,1174730.79,97894.23,2025-07-30
CUST10649,51,1173942.66,23018.48,2025-12-13
CUST03687,18,1171726.86,65095.94,2025-12-05
CUST13453,23,1171299.68,50926.07,2025-12-15
CUST10463,17,1171247.69,68896.92,2025-10-04
CUST02125,33,1170499.17,35469.67,2025-12-26
CUST09003,13,1170404.49,90031.11,2025-10-29
CUST06963,24,1167770.11,48657.09,2025-12-27
CUST09677,22,1166719.87,53032.72,2025-10-26
CUST09198,27,1166713.01,43211.59,2025-12-18
CUST05469,12,1166047.9,97170.66,2025-09-21
CUST08412,28,1164981.25,41606.47,2025-11-27
CUST02695,23,1162567.06,50546.39,2025-12-20
CUST08004,15,1162478.26,77498.55,2025-12-20
CUST09905,23,1161782.51,50512.28,2025-11-12
CUST14454,22,1161228.91,52783.13,2025-12-29
CUST11333,26,1160482.83,44633.95,2025-12-23
CUST14725,24,1160029.1,48334.55,2025-11-18
CUST10080,31,1159652.38,37408.14,2025-11-14
CUST05917,35,1159327.05,33123.63,2025-12-04
CUST12282,43,1157814.07,26925.91,2025-12-12
CUST03921,22,1157508.48,52614.02,2025-09-19
CUST01500,11,1156789.61,105162.69,2025-12-30
CUST00155,34,1155919.35,33997.63,2025-12-21
CUST07896,18,1155456.17,64192.01,2025-11-06
CUST14478,26,1152440.49,44324.63,2025-12-26
CUST09338,23,1151948.04,50084.7,2025-12-27
CUST05714,24,1151286.68,47970.28,2025-12-28
CUST12739,22,1148663.2,52211.96,2025-12-19
CUST02914,16,1147822.92,71738.93,2025-11-04
CUST01349,39,1147694.33,29428.06,2025-12-26
CUST01102,25,1146437.73,45857.51,2025-12-31
CUST07488,28,1146288.1,40938.86,2025-12-26
CUST03295,27,1146213.65,42452.36,2025-12-31
CUST12559,20,1145211.2,57260.56,2025-12-18
CUST14731,21,1143111.58,54433.88,2025-12-06
CUST01383,33,1142002.39,34606.13,2025-12-13
CUST06823,32,1141790.46,35680.95,2025-12-12
CUST04907,23,1139162.76,49528.82,2025-12-01
CUST03986,18,1138741.05,63263.39,2025-12-15
CUST04287,12,1138627.26,94885.61,2025-12-13
CUST04262,16,1136864.83,71054.05,2025-12-10
CUST00662,35,1135807.56,32451.64,2025-11-30
CUST02021,23,1135138.81,49353.86,2025-12-19
CUST07974,16,1134521.4,70907.59,2025-11-20
CUST06168,37,1134256.08,30655.57,2025-12-28
CUST01221,14,1133776.12,80984.01,2025-10-10
CUST01845,25,1133578.93,45343.16,2025-12-11
CUST02486,29,1133562.54,39088.36,2025-12-11
CUST11694,17,1132756.02,66632.71,2025-10-08
CUST14361,22,1132516.2,51478.01,2025-08-24
CUST10915,12,1131186.36,94265.53,2025-11-27
CUST13995,16,1131032.13,70689.51,2025-11-08
CUST02510,17,1127279.38,66310.55,2025-10-18
CUST09165,26,1127026.43,43347.17,2025-12-22
CUST08924,10,1126984.92,112698.49,2025-12-14
CUST13214,19,1126940.44,59312.65,2025-10-19
CUST06723,12,1126832.53,93902.71,2025-10-15
CUST11358,19,1126816.71,59306.14,2025-11-23
CUST02928,31,1126228.69,36329.96,2025-12-26
CUST10663,13,1123693.31,86437.95,2025-09-12
